Rank,Artist,Listeners,PkListeners,Daily Trend
83,Latto,"35,830,709","38,062,951","88,151"
84,XXXTENTACION,"35,700,316","36,958,905","87,724"
85,Manuel Turizo,"35,401,805","38,186,155","41,489"
86,Grupo Frontera,"35,384,989","39,234,817","-45,669"
87,Lil Wayne,"35,298,366","38,862,257","3,295"
88,ROSALÃA,"35,254,223","46,715,627","-174,433"
89,Pritam,"34,813,108","35,430,435","32,214"
90,Lil Uzi Vert,"34,776,681","39,580,515","-128,643"
91,Aqua,"34,609,662","41,819,994","-440,555"
92,Sean Paul,"34,452,073","38,975,847","-20,780"
93,Linkin Park,"34,285,668","35,852,548","36,104"
94,P!nk,"34,111,856","36,911,512","-50,380"
95,Diplo,"33,618,734","34,587,996","-27,859"
96,Britney Spears,"33,461,012","34,525,279","12,637"
97,Jhayco,"33,434,552","33,434,552","173,087"
98,Shreya Ghoshal,"33,391,480","33,391,480","56,078"
99,BTS,"33,370,323","40,741,916","-53,412"
100,Justin Timberlake,"33,200,525","33,200,525","145,644"
101,Fleetwood Mac,"33,130,490","33,130,490","105,830"
102,Jung Kook,"33,129,942","35,578,104","14,876"
103,Don Omar,"33,056,866","34,897,391","30,248"
104,Central Cee,"32,987,690","35,154,343","-33,056"
105,Anuel AA,"32,893,376","35,286,500","-3,750"
106,Jason Derulo,"32,845,537","34,068,587","53,726"
107,DJ Snake,"32,723,484","33,570,740","7,204"
108,Ava Max,"32,657,739","34,646,542","-68,611"
109,Becky G,"32,649,815","36,514,621","-40,107"
110,Rema,"32,565,695","40,010,586","-107,997"
111,The Neighbourhood,"32,068,086","32,320,916","69,395"
112,Lewis Capaldi,"32,040,638","37,236,967","-22,462"
113,A.R. Rahman,"31,769,038","32,074,308","36,272"
114,The Kid LAROI,"31,700,200","44,114,355","-129,742"
115,Cardi B,"31,401,409","31,708,178","617,636"
116,50 Cent,"31,289,781","32,332,190",-731
117,Young Thug,"31,113,135","33,656,406","-44,063"
118,Coi Leray,"31,104,332","38,479,080","-17,970"
119,Demi Lovato,"31,083,651","31,083,651","142,413"
120,Alan Walker,"31,013,358","33,218,914","-48,174"
121,Pharrell Williams,"30,939,195","33,039,602","-60,901"
122,Wiz Khalifa,"30,768,961","31,867,476","-37,240"
123,Lil Baby,"30,624,100","31,786,556","-122,191"
124,Snoop Dogg,"30,263,549","31,429,177","-59,762"
125,Macklemore,"30,261,973","30,626,076","48,215"
126,Red Hot Chili Peppers,"30,185,947","30,682,414","1,249"
127,Juice WRLD,"30,165,389","32,553,139","-54,308"
128,The Beatles,"30,044,113","31,696,352","52,624"
129,Green Day,"29,704,236","29,704,236","158,004"
130,A$AP Rocky,"29,660,375","33,183,011","-23,433"
131,"Tyler, The Creator","29,527,907","34,491,803","-26,626"
132,DaBaby,"29,327,146","32,070,946","-34,517"
133,Young Miko,"29,292,068","29,307,209","-15,141"
134,Tainy,"29,180,506","35,233,699","-75,309"
135,Lil Nas X,"29,158,630","37,597,256","-51,864"
136,Labrinth,"29,013,808","36,829,106","27,513"
137,Creedence Clearwater Revival,"28,942,817","29,547,475","90,137"
138,Guns N' Roses,"28,849,559","28,849,559","32,997"
139,Dave,"28,749,706","28,749,706","109,163"
140,USHER,"28,531,394","28,894,796","1,180"
141,AC/DC,"28,530,585","29,132,903","38,379"
142,Kodak Black,"28,193,190","33,708,388","27,872"
143,Chencho Corleone,"28,042,630","31,051,924","42,560"
144,Sebastian Yatra,"28,039,329","28,235,688","6,030"
145,Hozier,"28,000,162","30,293,009","65,879"
146,RAYE,"27,913,578","36,484,906","300,641"
147,Nirvana,"27,865,999","28,310,769","-13,961"
148,Nicky Jam,"27,839,029","30,366,327","-19,928"
149,Miguel,"27,835,809","34,144,669","-27,797"
150,Frank Ocean,"27,775,072","27,775,072","48,033"
151,ABBA,"27,756,518","28,390,214","6,112"
152,Lil Durk,"27,688,791","34,773,282","-64,922"
153,Flo Rida,"27,655,303","28,152,627","57,232"
154,Troye Sivan,"27,324,893","28,352,154","90,666"
155,Robin Schulz,"27,163,571","34,908,935","-24,072"
156,Kygo,"27,098,941","29,436,685","-58,266"
157,Bon Jovi,"26,747,426","26,864,457","43,119"
158,Junior H,"26,714,363","28,680,566","53,153"
159,Ty Dolla $ign,"26,675,835","29,389,940","-86,111"
160,Calum Scott,"26,667,453","28,397,540","-1,960"
161,Steve Lacy,"26,650,153","29,765,204","81,926"
162,Jack Harlow,"26,620,407","32,198,313","-14,428"
163,Eslabon Armado,"26,453,581","40,132,836","-125,276"
164,Daniel Caesar,"26,269,701","26,993,957","7,187"
165,Stephen Sanchez,"26,219,969","34,322,910","-73,423"
166,Bee Gees,"26,203,297","26,203,297","115,012"
167,The Police,"26,182,817","26,182,817","95,098"
168,Meghan Trainor,"26,105,163","37,377,997","-6,434"
169,Fall Out Boy,"26,034,639","30,377,374","-46,938"
170,DJ Khaled,"26,022,795","27,862,957","-275,175"
171,FIFTY FIFTY,"25,946,120","37,675,143","-141,191"
172,Maria Becerra,"25,927,836","26,919,900","3,571"
173,The Rolling Stones,"25,826,785","25,826,785","277,634"
174,Morgan Wallen,"25,748,660","26,588,086","19,305"
175,d4vd,"25,720,715","31,836,766","118,176"
176,Twenty One Pilots,"25,691,096","27,206,643","51,544"
177,Carin Leon,"25,609,771","25,609,771","63,252"
178,Lost Frequencies,"25,466,808","25,466,808","65,302"
179,NewJeans,"25,411,049","26,786,050","-30,073"
180,Akon,"25,310,879","26,975,304","-102,563"
181,David Kushner,"25,151,742","27,928,294","29,632"
182,PinkPantheress,"25,151,265","39,844,680","20,568"
183,Amitabh Bhattacharya,"25,062,547","26,965,104","-4,304"
184,Metallica,"25,060,410","26,870,829","34,725"
185,Sabrina Carpenter,"25,017,911","25,017,911","25,869"
186,Mariah Carey,"24,989,476","24,989,476","64,194"
187,Major Lazer,"24,984,663","25,065,451","35,475"
188,Nelly Furtado,"24,962,665","24,962,665","198,953"
189,JVKE,"24,850,437","31,684,143","-54,435"
190,Tame Impala,"24,668,031","26,702,310","-37,664"
191,Swedish House Mafia,"24,623,937","24,899,684","-27,743"
192,Tyga,"24,604,130","25,118,039","2,401"
193,Jonas Brothers,"24,509,669","25,278,372","-4,383"
194,Alicia Keys,"24,418,967","25,833,027","27,693"
195,Yng Lvcas,"24,340,556","32,431,402","-92,754"
196,Tory Lanez,"24,339,532","24,339,532","6,694"
197,ZAYN,"24,323,031","26,177,320","-32,418"
198,Polo G,"24,310,207","24,908,452","10,356"
199,BLACKPINK,"24,221,202","25,116,235","158,521"
200,Yandel,"24,214,789","27,875,326","21,019"
201,Kid Cudi,"24,184,963","25,014,740","-17,956"
202,Duki,"24,181,175","26,492,455","-5,204"
203,Mac Miller,"24,074,093","24,328,100","19,050"
204,Radiohead,"24,014,999","25,390,483","21,738"
205,Enrique Iglesias,"24,010,676","24,875,119","17,562"
206,Pop Smoke,"23,985,199","25,280,553","48,708"
207,Anirudh Ravichander,"23,976,058","23,976,058","287,519"
208,Christina Aguilera,"23,817,447","24,406,255","-15,204"
209,ArcÃ¡ngel,"23,798,577","29,918,189","-47,379"
210,Glass Animals,"23,750,110","28,077,809","-28,407"
211,Ryan Castro,"23,745,395","23,769,862","-24,467"
212,Don Toliver,"23,741,853","29,569,041","-42,682"
213,Alok,"23,687,842","24,137,105","103,442"
214,Romeo Santos,"23,683,598","29,261,273","-17,193"
215,Luke Combs,"23,665,095","23,778,371","-19,228"
216,Peggy Gou,"23,475,593","23,475,593","32,145"
217,Conan Gray,"23,450,283","24,741,096","29,920"
218,Aerosmith,"23,377,764","23,447,874","50,806"
219,Whitney Houston,"23,349,781","24,487,241","-20,803"
220,Zara Larsson,"23,300,652","26,403,685","-45,597"
221,Gorillaz,"23,290,331","41,977,704","-1,892"
222,Tom Odell,"23,284,933","28,365,299","19,486"
223,Charli XCX,"23,281,504","24,071,976","-6,317"
224,Disney,"23,281,326","24,054,234","36,003"
225,2Pac,"23,214,872","24,294,167","-3,094"
226,Giveon,"23,176,661","25,291,400","-6,374"
227,Joji,"23,123,178","29,284,554","25,722"
228,Em Beihold,"23,042,309","26,666,031","3,517"
229,R3HAB,"22,953,721","23,584,295","-18,387"
230,Tate McRae,"22,852,503","32,013,045","-19,337"
231,Fuerza Regida,"22,820,125","24,340,375","59,998"
232,Panic! At The Disco,"22,806,854","26,282,167","-50,057"
233,Dr. Dre,"22,806,583","23,239,378","-72,259"
234,Jennifer Lopez,"22,800,360","23,502,805","-3,489"
235,El Alfa,"22,652,171","22,652,171","62,033"
236,Ne-Yo,"22,638,529","22,638,529","81,459"
237,Childish Gambino,"22,636,743","23,794,827","29,034"
238,Martin Garrix,"22,635,843","23,962,214","-36,999"
239,Billy Joel,"22,567,417","22,858,255","-18,951"
240,Vance Joy,"22,539,880","24,815,037","-38,722"
241,Eladio Carrion,"22,534,665","26,738,598","-50,526"
242,Trippie Redd,"22,527,269","22,531,523","-4,254"
243,Mark Ronson,"22,509,775","23,123,246","31,881"
244,Macklemore & Ryan Lewis,"22,494,608","22,494,608","50,050"
245,Ryan Lewis,"22,451,715","22,451,715","49,105"
246,The Lumineers,"22,447,688","22,447,688","137,341"
247,Shilpa Rao,"22,415,004","22,415,004","208,695"
248,Nicki Nicole,"22,404,339","24,400,549","-7,699"
249,Mora,"22,354,623","22,354,623","199,866"
250,Megan Thee Stallion,"22,276,169","24,128,927","743,072"
251,Elley DuhÃ©,"22,242,502","25,586,962","-116,291"
252,The Killers,"22,220,165","22,220,165","28,117"
253,Kim Petras,"22,209,434","46,551,289","-139,638"
254,Luis Fonsi,"22,126,853","23,290,182","11,623"
255,MÃ¥neskin,"22,017,529","26,818,201","207,670"
256,Vishal-Shekhar,"22,017,118","24,626,006","32,546"
257,Sachin-Jigar,"21,882,944","24,755,766","-16,607"
258,Skrillex,"21,776,916","23,635,431","-8,692"
259,Paramore,"21,507,264","21,953,962","-58,644"
260,MEDUZA,"21,452,812","22,148,251","5,775"
261,Clean Bandit,"21,416,998","23,755,636","-2,520"
262,Camilo,"21,355,225","21,515,170","61,671"
263,The Notorious B.I.G.,"21,337,810","23,352,541","-47,083"
264,Brent Faiyaz,"21,328,005","22,307,149","35,169"
265,Felix Jaehn,"21,252,900","22,767,105","-25,613"
266,Lizzo,"21,204,430","30,100,497","-114,528"
267,Jonas Blue,"21,171,279","22,821,691","-51,081"
268,John Legend,"21,156,371","24,516,883","3,135"
269,Lorde,"21,135,977","21,135,977","61,379"
270,Sech,"21,069,014","23,591,625","-44,016"
271,Outkast,"21,054,876","21,054,876","12,509"
272,Zach Bryan,"21,027,724","21,027,724","418,482"
273,Summer Walker,"20,988,470","21,447,325","10,464"
274,JID,"20,839,227","24,589,102","33,806"
275,Wisin & Yandel,"20,830,791","23,350,285",781
276,Foo Fighters,"20,702,362","22,630,908","10,361"
277,Phil Collins,"20,668,195","20,868,436","-24,979"
278,Bastille,"20,612,768","20,612,768","28,204"
279,Zion & Lennox,"20,579,547","22,169,487","-14,695"
280,Roddy Ricch,"20,560,456","23,016,594","-182,007"
281,Tanishk Bagchi,"20,541,786","23,360,299","28,494"
282,Anitta,"20,478,580","24,747,002","-23,960"
283,Eagles,"20,377,153","20,867,139",-384
284,Natanael Cano,"20,317,260","25,627,596","10,108"
285,TOTO,"20,311,058","20,311,058","33,975"
286,Offset,"20,266,550","24,969,472","-62,077"
287,Plan B,"20,263,118","20,730,655","-7,975"
288,NLE Choppa,"20,234,883","24,991,591","54,949"
289,U2,"20,231,049","20,920,933","-19,546"
290,Oasis,"20,201,900","20,341,409","-29,576"
291,Lauv,"20,133,270","20,320,115","-39,928"
292,Jubin Nautiyal,"20,122,460","22,249,499","55,910"
293,KK,"20,082,172","20,082,172","20,758"
294,Anderson .Paak,"20,064,181","22,604,620","20,224"
295,Burna Boy,"20,059,135","20,059,135","49,004"
296,Tears For Fears,"20,049,284","20,049,284","81,402"
297,Udit Narayan,"20,017,880","20,344,679","2,316"
298,Marvin Gaye,"19,999,932","19,999,932","106,656"
299,Ruth B.,"19,993,155","22,101,563","-27,823"
300,Daft Punk,"19,955,865","22,870,534","-24,170"
301,Rels B,"19,927,938","19,927,938","48,750"
302,Tiago PZK,"19,841,135","22,253,606","28,233"
303,Chris Stapleton,"19,801,736","19,801,736","52,341"
304,Christian Nodal,"19,764,453","20,998,189","-7,709"
305,Bryan Adams,"19,753,710","20,988,297","15,688"
306,5 Seconds of Summer,"19,747,371","20,561,330","45,837"
307,Reik,"19,710,478","20,365,963","13,088"
308,Darshan Raval,"19,709,477","19,709,477","59,579"
309,Timbaland,"19,697,130","19,697,130","245,021"
310,Bob Marley & The Wailers,"19,665,617","20,574,539","-50,125"
311,Gabito Ballesteros,"19,637,756","21,000,728","60,036"
312,Alesso,"19,557,582","20,146,977","27,769"
313,Florence + The Machine,"19,552,706","20,421,919","15,445"
314,PNAU,"19,504,177","22,323,897","-40,046"
315,A Boogie Wit da Hoodie,"19,293,685","22,882,543","143,327"
316,B.o.B,"19,263,068","19,279,361","-16,293"
317,Grupo Firme,"19,086,940","19,231,331","-50,062"
318,Stevie Wonder,"19,033,396","19,152,891","8,206"
319,TINI,"19,022,854","22,906,402","-46,589"
320,Alka Yagnik,"19,006,775","20,003,871","-10,308"
321,Jay Wheeler,"18,977,419","18,977,491",-72
322,Nelly,"18,927,046","18,934,660",946
323,Kesha,"18,881,699","20,265,888","-8,253"
324,Shankar Mahadevan,"18,856,947","18,858,687","-1,740"
325,Big Sean,"18,842,322","20,137,963","3,740"
